"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17328","should return search results when searching for ""London""","Wikipedia app search","Wed Sep 23 10:44:34 UTC 2026","passed","Wed Sep 23 10:44:52 UTC 2026","","","",""
"","14842","should open the Search tab from the bottom navigation","Wikipedia app navigation","Wed Sep 23 10:40:59 UTC 2026","passed","Wed Sep 23 10:41:13 UTC 2026","","","",""
"","25145","should show the ""save to collections"" dialog when saving an article","Wikipedia app save article","Wed Sep 23 10:43:37 UTC 2026","passed","Wed Sep 23 10:44:03 UTC 2026","","","",""
"","9215","should show the welcome screen and lead to the Explore feed after completing onboarding","Wikipedia app onboarding","Wed Sep 23 10:41:49 UTC 2026","passed","Wed Sep 23 10:41:58 UTC 2026","","","",""
"","23259","should open an article after tapping a search result","Wikipedia app article view","Wed Sep 23 10:42:34 UTC 2026","passed","Wed Sep 23 10:42:58 UTC 2026","","","",""
